BJT Ic / Vce
Type:	BJT Ic / Vce
Trace:	Ib=55.0µA		Ib=44.0µA		Ib=33.0µA		Ib=22.0µA		Ib=11.0µA	
Tag:	Ib=55.0µA		Ib=44.0µA		Ib=33.0µA		Ib=22.0µA		Ib=11.0µA	
Colour:	Red		DarkRed		Green		Lime		Blue	
Point	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)
0	0.0135000944137573	0	0.0121318101882935	0	0.0103986859321594	0	0.010398805141449	0	0.00538182258605957	0
1	0.0608413219451904	0.269444763660431	0.0663143992424011	0.261472135782242	0.0725170373916626	0.253336608409882	0.0827333927154541	0.239506676793098	0.101979970932007	0.210544407367706
2	0.0785372853279114	0.605111658573151	0.086108386516571	0.596650660037994	0.0945913791656494	0.584609985351563	0.106449663639069	0.56573623418808	0.131442904472351	0.526523411273956
3	0.091307520866394	0.949564278125763	0.0989697575569153	0.940778195858002	0.108273983001709	0.927924513816834	0.122686207294464	0.905307948589325	0.15406459569931	0.861702084541321
4	0.0990610718727112	1.30475628376007	0.109186053276062	1.29401791095734	0.119402289390564	1.27856016159058	0.135091543197632	1.2548052072525	0.172399044036865	1.19850778579712
5	0.110006928443909	1.66775834560394	0.118946194648743	1.65604281425476	0.128524005413055	1.63960993289948	0.147405862808228	1.61064803600311	0.198943257331848	1.53319847583771
6	0.117030680179596	2.025390625	0.125422656536102	2.0130250453949	0.137007057666779	1.99659097194672	0.158534228801727	1.9640496969223	0.242727160453796	1.83437156677246
7	0.123689532279968	2.37684011459351	0.13317596912384	2.36366105079651	0.145672738552094	2.34576296806335	0.169662594795227	2.31045532226563	0.392139673233032	1.96681547164917
8	0.130074679851532	2.73723816871643	0.139834821224213	2.72308301925659	0.154064536094666	2.69558453559875	0.182797908782959	2.65767455101013	0.622278869152069	1.97918152809143
9	0.135182738304138	3.08527159690857	0.148774147033691	3.06981420516968	0.163551211357117	3.04622173309326	0.197210073471069	2.99334144592285	0.852873921394348	1.98813092708588
10	0.143209874629974	3.43281579017639	0.153426051139832	3.41719579696655	0.17166942358017	3.39100003242493	0.214176297187805	3.32298803329468	1.08191871643066	1.99626588821411
11	0.146767318248749	3.79207515716553	0.158625483512878	3.77124810218811	0.17778092622757	3.74228620529175	0.24436891078949	3.64807844161987	1.31816923618317	2.00065803527832
12	0.152970016002655	4.15702962875366	0.164554536342621	4.13734197616577	0.188179552555084	4.1025218963623	0.313510835170746	3.91378140449524	1.55934554338455	2.00619173049927
13	0.156618595123291	4.51515054702759	0.173767328262329	4.4935097694397	0.200311422348022	4.45332145690918	0.505065500736237	3.96161723136902	1.79441052675247	2.00700497627258
14	0.162274122238159	4.86741304397583	0.18215936422348	4.84105491638184	0.213081777095795	4.78931331634521	0.740130484104156	3.98732471466064	2.02555310726166	2.0153021812439
15	0.171395778656006	5.21560859680176	0.188088417053223	5.18941307067871	0.229865431785583	5.12742042541504	0.957864224910736	4.00310754776001	2.25979715585709	2.01920795440674
16	0.177233636379242	5.57535696029663	0.197666168212891	5.54509210586548	0.251118838787079	5.46194887161255	1.19001030921936	4.01905298233032	2.50526034832001	2.02620410919189
17	0.183892428874969	5.92761898040771	0.207061409950256	5.89654111862183	0.292804837226868	5.76425981521606	1.41422033309937	4.02377080917358	2.74625450372696	2.02799344062805
18	0.189821422100067	6.28443670272827	0.215909540653229	6.24180793762207	0.443038523197174	5.91281175613403	1.64937645196915	4.03613710403442	2.98624473810196	2.03401398658752
19	0.196753859519958	6.63881635665894	0.230139195919037	6.58984184265137	0.643532395362854	5.93998575210571	1.88279938697815	4.03727674484253	3.23088747262955	2.03564119338989
20	0.205510854721069	6.98505926132202	0.244368970394135	6.9276237487793	0.859624147415161	5.96536827087402	2.11157035827637	4.04866647720337	3.46941834688187	2.03857088088989
21	0.214450001716614	7.33374214172363	0.263433277606964	7.25515460968018	1.08784765005112	6.00685691833496	2.33696633577347	4.08527565002441	3.70740240812302	2.04052209854126
22	0.22357165813446	7.68258857727051	0.301105618476868	7.56381177902222	1.30092948675156	6.00490617752075	2.58461874723434	4.07518720626831	3.94447404146194	2.04524111747742
23	0.235338509082794	8.02313709259033	0.392869412899017	7.78021287918091	1.51802468299866	6.02800941467285	2.82834905385971	4.08023023605347	4.18227517604828	2.04995918273926
24	0.246831834316254	8.36775302886963	0.591173946857452	7.83878803253174	1.74168735742569	6.04346704483032	3.06569468975067	4.08934307098389	4.42080610990524	2.05012083053589
25	0.262247443199158	8.70114135742188	0.796593368053436	7.86286926269531	1.97100573778152	6.06803703308105	3.29701912403107	4.09975576400757	4.65988546609879	2.05549025535584
26	0.284048140048981	9.03436756134033	1.00620901584625	7.9193286895752	2.22595566511154	6.08089065551758	3.53892570734024	4.11863088607788	4.90024071931839	2.05972194671631
27	0.314879298210144	9.34871864318848	1.22366911172867	7.93592548370361	2.44460135698318	6.10432100296021	3.78019291162491	4.1347393989563	5.14333182573318	2.06265044212341
28	0.384294986724854	9.60043144226074	1.43939572572708	7.95659017562866	2.68951773643494	6.09732341766357	4.00869059562683	4.13490009307861	5.37684595584869	2.06558060646057
29	0.556238055229187	9.69821643829346	1.65576153993607	8.00312614440918	2.93188017606735	6.1264476776123	4.25990068912506	4.12822914123535	5.61802273988724	2.06964874267578
30	0.738397359848022	9.76069641113281	1.8826168179512	8.00637626647949	3.16165441274643	6.13930225372314	4.49323290586472	4.16532754898071	5.85381746292114	2.0771312713623
31	0.940168082714081	9.78884601593018	2.13218539953232	8.04819393157959	3.40109747648239	6.15703821182251	4.72309821844101	4.16890668869019	6.08797019720078	2.07696962356567
32	1.14951008558273	9.82822322845459	2.36843580007553	8.05649185180664	3.63406425714493	6.19006824493408	4.96172040700912	4.17037200927734	6.32485896348953	2.08022141456604
33	1.36277401447296	9.85897159576416	2.60377413034439	8.09277534484863	3.88098800182343	6.17884016036987	5.20335251092911	4.17655467987061	6.56411999464035	2.08266401290894
34	1.57594710588455	9.89997482299805	2.82716363668442	8.09651756286621	4.10948449373245	6.18892860412598	5.43650180101395	4.1913595199585	6.80228626728058	2.08445358276367
35	1.82496792078018	9.94016456604004	3.06295830011368	8.13166332244873	4.33351218700409	6.21626281738281	5.67229664325714	4.18713045120239	7.03716838359833	2.08738398551941
