MOSFET Id / Vds
Type:	MOSFET Id / Vds
Trace:	Vgs=0.000V		Vgs=1.000V		Vgs=2.000V		Vgs=3.000V		Vgs=4.000V		Vgs=5.000V	
Tag:	Vgs=0.000V		Vgs=1.000V		Vgs=2.000V		Vgs=3.000V		Vgs=4.000V		Vgs=5.000V	
Colour:	Red		DarkRed		Green		Lime		Blue		Cyan	
Point	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)
0	0.00119400024414063	0	0.000459194183349609	0	0.00091850757598877	0	-0.000275552272796631	0	0.000183761119842529	0	0.000459253787994385	0
1	0.240382969379425	0	0.239648163318634	0	0.139067530632019	0.151113286614418	0.0891906023025513	0.230758860707283	0.0708197951316834	0.2579066157341	0.0624609589576721	0.274097204208374
2	0.477826595306396	0	0.478010237216949	0	0.31065171957016	0.254962831735611	0.183249473571777	0.452031701803207	0.144119501113892	0.510579943656921	0.121247828006744	0.543124675750732
3	0.72032231092453	0	0.71995484828949	0	0.532112777233124	0.289470344781876	0.28199303150177	0.666599631309509	0.214204549789429	0.764234721660614	0.182606518268585	0.820656776428223
4	0.955010116100311	0	0.954367160797119	0	0.760003209114075	0.298628360033035	0.389187157154083	0.862033009529114	0.290259838104248	1.00660443305969	0.245802402496338	1.08068919181824
5	1.19686287641525	0	1.19686311483383	0	0.999559581279755	0.30010113120079	0.509516298770905	1.04863500595093	0.372102200984955	1.25633442401886	0.310100436210632	1.34693706035614
6	1.43366348743439	0	1.43338805437088	0	1.23599290847778	0.301735877990723	0.641051888465881	1.20334625244141	0.454587399959564	1.4926530122757	0.376694798469543	1.60876870155334
7	1.67459744215012	0	1.67514854669571	0	1.4751815199852	0.303862154483795	0.798674046993256	1.33467102050781	0.540563225746155	1.72635531425476	0.444575250148773	1.86994588375092
8	1.91507250070572	0	1.91589945554733	0	1.71088010072708	0.311876595020294	0.979627132415771	1.41742360591888	0.629110753536224	1.95678758621216	0.512363791465759	2.13472199440002
9	2.15517979860306	0	2.15472036600113	0	1.94942611455917	0.309422165155411	1.18730992078781	1.46337890625	0.724363923072815	2.17168235778809	0.583734571933746	2.38870286941528
10	2.39537912607193	0	2.39547073841095	0	2.18990081548691	0.312856733798981	1.40923023223877	1.49510657787323	0.827240943908691	2.38363289833069	0.656850934028625	2.64186668395996
11	2.62951600551605	0	2.62997555732727	0	2.42504841089249	0.312693744897842	1.63491642475128	1.50753569602966	0.931679129600525	2.57563281059265	0.731528520584106	2.88587236404419
12	2.87577766180038	0	2.87485909461975	0	2.66965627670288	0.315147310495377	1.87419724464417	1.51636648178101	1.05421274900436	2.76027154922485	0.806298017501831	3.1360924243927
13	3.10752636194229	0	3.10835325717926	0	2.90232390165329	0.313511312007904	2.09703570604324	1.52732396125793	1.17812472581863	2.92087078094482	0.881985902786255	3.37077593803406
14	3.35195052623749	0	3.3518590927124	0	3.14656412601471	0.316127479076386	2.33604145050049	1.53239321708679	1.32591843605042	3.06707692146301	0.966951310634613	3.61363697052002
15	3.58994591236115	0	3.59058856964111	0	3.38354843854904	0.317435324192047	2.5749546289444	1.53828132152557	1.48326474428177	3.17877697944641	1.05219215154648	3.84570360183716
16	3.8329005241394	0	3.83317577838898	0	3.62420743703842	0.320052742958069	2.81992989778519	1.53419351577759	1.66853529214859	3.26480054855347	1.14239329099655	4.07384634017944
17	4.07245725393295	0	4.07245641946793	0	3.86431455612183	0.318091601133347	3.05572009086609	1.53746378421783	1.86602216959	3.31893372535706	1.23525804281235	4.28906774520874
18	4.31284004449844	0	4.31238061189651	0	4.10423827171326	0.319070488214493	3.29729753732681	1.54433214664459	2.08316588401794	3.35049772262573	1.33142960071564	4.50232648849487
19	4.55900955200195	0	4.55855065584183	0	4.35132735967636	0.312203019857407	3.54190582036972	1.54563999176025	2.31969094276428	3.37486577033997	1.44009357690811	4.70119524002075
20	4.79709613323212	0	4.79681980609894	0	4.58913791179657	0.317435324192047	3.77934938669205	1.5498925447464	2.54996985197067	3.39661550521851	1.55086970329285	4.89106702804565
21	5.03683620691299	0.00196200865320861	5.03720396757126	0.00228717061690986	4.8294283747673	0.316454738378525	4.0178034901619	1.5533275604248	2.7864950299263	3.40855431556702	1.67202597856522	5.06753063201904
22	5.27620846033096	0	5.27538257837296	0	5.06696498394012	0.317761331796646	4.25625759363174	1.55463588237762	3.02200984954834	3.41787624359131	1.80466336011887	5.22305917739868
23	5.51649957895279	0.00196285755373538	5.51594835519791	0	5.30982691049576	0.318416744470596	4.49608927965164	1.55610716342926	3.26138263940811	3.42687082290649	1.94786435365677	5.36452341079712
24	5.75137162208557	0	5.75164765119553	0	5.54754620790482	0.315964877605438	4.7311447262764	1.55856239795685	3.49028342962265	3.44224429130554	2.11017113924026	5.48881530761719
25	5.99120396375656	0	5.98964220285416	0.00228801951743662	5.7848065495491	0.316944628953934	4.96757805347443	1.56314015388489	3.73039084672928	3.44158983230591	2.29489088058472	5.57941865921021
26	6.23535245656967	0	6.23498517274857	0.00229056645184755	6.0269348025322	0.320051908493042	5.2112677693367	1.56526684761047	3.97141671180725	3.44993019104004	2.4980720281601	5.65808200836182
27	6.4758266210556	0.00196285755373538	6.47527647018433	0	6.26823580265045	0.320869475603104	5.45045691728592	1.56641042232513	4.2059218287468	3.4617063999176	2.71521598100662	5.70060396194458
28	6.71896547079086	0.0016351486556232	6.71960836648941	0	6.51100713014603	0.321196347475052	5.69221764802933	1.56902873516083	4.44584506750107	3.46824789047241	2.93869763612747	5.74067068099976
29	6.95595049858093	0	6.95696079730988	0.00196455558761954	6.7475329041481	0.321850925683975	5.92855912446976	1.57148146629333	4.68163514137268	3.47135257720947	3.16300654411316	5.76405668258667
30	7.19651681184769	0.00179985212162137	7.19532185792923	0.00294343731366098	6.98708868026733	0.321689605712891	6.16517573595047	1.57425928115845	4.91623133420944	3.47838664054871	3.38749831914902	5.79218626022339
31	7.43689966201782	0.00310814077965915	7.4391964673996	0.00245357188396156	7.22692120075226	0.325285911560059	6.40427309274673	1.57834887504578	5.15652239322662	3.48917961120605	3.62044107913971	5.81344747543335
32	7.67921191453934	0	7.67930418252945	0.00228886841796339	7.46647751331329	0.325777471065521	6.64465618133545	1.58390974998474	5.39635413885117	3.4942524433136	3.84915935993195	5.83552694320679
33	7.92271876335144	0	7.92253476381302	0.00261827534995973	7.71071672439575	0.327085763216019	6.88678359985352	1.58243763446808	5.6370125412941	3.4981746673584	4.08715319633484	5.84681177139282
34	8.16503047943115	0	8.1651211977005	0	7.95247948169708	0.328231900930405	7.12973952293396	1.58472645282745	5.87739568948746	3.49997544288635	4.32533222436905	5.85940313339233
35	8.40467780828476	0.00261657754890621	8.40476870536804	0.00212756101973355	8.19157588481903	0.326921045780182	7.36865258216858	1.58685314655304	6.11428880691528	3.50389933586121	4.56011247634888	5.86774349212646
36	8.63872200250626	0	8.63826352357864	0	8.42451876401901	0.328883916139603	7.60003334283829	1.58848834037781	6.34530276060104	3.50684285163879	4.7893802523613	5.87412118911743
37	8.88011658191681	0.0017981540877372	8.88075906038284	0.00376270967535675	8.66664582490921	0.330357760190964	7.84087556600571	1.59094023704529	6.58430707454681	3.51158881187439	5.02728301286697	5.88344573974609
38	9.11866104602814	0	9.11838662624359	0	8.90317142009735	0.328720927238464	8.07684975862503	1.59274172782898	6.81578040122986	3.5199248790741	5.26086908578873	5.88900423049927
39	9.3595045208931	0.00294258841313422	9.35978013277054	0.0017981540877372	9.1430042386055	0.330846786499023	8.31466084718704	1.59453821182251	7.05258148908615	3.52401447296143	5.49638372659683	5.89767408370972
40	9.60282623767853	0.00245187408290803	9.60328561067581	0	9.38458049297333	0.328883916139603	8.5548602938652	1.59617507457733	7.29728108644485	3.5199248790741	5.73658323287964	5.90372276306152
41	9.84541398286819	0.00245357188396156	9.84596520662308	0	9.62606543302536	0.333789378404617	8.79478251934052	1.60009908676147	7.53545951843262	3.52499842643738	5.96860736608505	5.91697311401367
42	10.082123875618	0.00179985212162137	10.083133161068	0	9.86461180448532	0.330028355121613	9.0263477563858	1.59764552116394	7.76867777109146	3.52761340141296	6.20154941082001	5.92269372940063
43	10.3156169652939	0	10.316720366478	0	10.097647190094	0.335098505020142	9.25460678339005	1.60157120227814	7.992251932621	3.53595542907715	6.43081885576248	5.92481851577759
44	10.5570107102394	0.0016351486556232	10.5574701428413	0	10.3406933546066	0.328391492366791	9.49296951293945	1.60075283050537	8.22739881277084	3.53955173492432	6.66688466072083	5.93005418777466
45	10.7962909340858	0	10.7972088456154	0.00327369314618409	10.5777693986893	0.333952367305756	9.73215889930725	1.60369873046875	8.45666819810867	3.54773092269897	6.90129637718201	5.93692064285278
46	11.0379585027695	0.00179985212162137	11.0382358431816	0.0016351486556232	10.819621860981	0.330193042755127	9.97502011060715	1.60648012161255	8.69456964731216	3.54690909385681	7.13791412115097	5.94133901596069
47	11.2784345149994	0.00261827534995973	11.277700483799	0.0017981540877372	11.0600965619087	0.328883916139603	10.2151277065277	1.60451722145081	8.92457324266434	3.54674768447876	7.37177520990372	5.94575357437134
48	11.5184489488602	0.00229056645184755	11.5185423493385	0.00212246715091169	11.3016747236252	0.330194741487503	10.4531229138374	1.61073184013367	9.15329188108444	3.54920125007629	7.60600405931473	5.94951629638672
49	11.7541491985321	0	11.7540572881699	0	11.5380156040192	0.329863637685776	10.6906589865685	1.60958397388458	9.38081628084183	3.55966591835022	7.83472126722336	5.95278692245483
50	11.994990170002	0.00212756101973355	11.9948989152908	0	11.779317677021	0.332320630550385	10.930307507515	1.61187624931335	9.62597382068634	3.56228590011597	8.0659202337265	5.95638465881348
