MOSFET Id / Vds
Type:	MOSFET Id / Vds
Trace:	Vgs=0.000V		Vgs=1.000V		Vgs=2.000V		Vgs=3.000V		Vgs=4.000V		Vgs=5.000V	
Tag:	Vgs=0.000V		Vgs=1.000V		Vgs=2.000V		Vgs=3.000V		Vgs=4.000V		Vgs=5.000V	
Colour:	Red		DarkRed		Green		Lime		Blue		Cyan	
Point	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)	Vds	Id (mA)
0	-0.0150642395019531	0	-0.0134124755859375	0	-0.0112981796264648	0	-0.00762367248535156	0	-0.00587940216064453	0	-0.00523662567138672	0
1	0.226329803466797	0	0.226973533630371	0	0.197304725646973	0.0462816692888737	0.136954307556152	0.135579809546471	0.110318183898926	0.172371491789818	0.0967235565185547	0.196576103568077
2	0.463038444519043	0	0.462303161621094	0	0.420510292053223	0.0650918185710907	0.286403656005859	0.267553120851517	0.228625297546387	0.356194138526917	0.198680877685547	0.402808606624603
3	0.703145027160645	0.00261487951502204	0.703146934509277	0	0.659146308898926	0.0639456883072853	0.45128059387207	0.381870895624161	0.356118202209473	0.52758926153183	0.303763389587402	0.606253027915955
4	0.942424774169922	0.00261827534995973	0.943252563476563	0	0.897049903869629	0.0667269676923752	0.621026992797852	0.486046671867371	0.483429908752441	0.69439822435379	0.411785125732422	0.806264102458954
5	1.18235111236572	0	1.18391036987305	0	1.13798427581787	0.071141704916954	0.808226585388184	0.571417391300201	0.615516662597656	0.857451260089874	0.520630836486816	1.00513422489166
6	1.42457103729248	0	1.42466163635254	0	1.37717247009277	0.0695082470774651	1.00580596923828	0.633564889431	0.755133628845215	1.01200246810913	0.632785797119141	1.20023810863495
7	1.66605567932129	0	1.66559505462646	0	1.61581039428711	0.0776822939515114	1.21863174438477	0.671181797981262	0.897601127624512	1.16278767585754	0.747787475585938	1.39060306549072
8	1.89881420135498	0	1.89853763580322	0	1.84829425811768	0.0744119957089424	1.43008041381836	0.703560471534729	1.04071044921875	1.29558622837067	0.860124588012695	1.5716427564621
9	2.1346960067749	0	2.13662433624268	0	2.08399391174316	0.076048843562603	1.65383815765381	0.721876502037048	1.19667911529541	1.41840398311615	0.9755859375	1.7482693195343
10	2.37746715545654	0	2.37820148468018	0	2.32584571838379	0.0781747102737427	1.88705635070801	0.735777854919434	1.35972023010254	1.53517532348633	1.09793567657471	1.92424058914185
11	2.62069797515869	0.00179985212162137	2.62124919891357	0.00179985212162137	2.56907653808594	0.0786654204130173	2.11687755584717	0.754258573055267	1.52983570098877	1.63951241970062	1.22432708740234	2.10103368759155
12	2.86264133453369	0.0032702973112464	2.86319351196289	0.0017981540877372	2.80762100219727	0.0837321728467941	2.34715557098389	0.770939469337463	1.70904350280762	1.72864079475403	1.35356712341309	2.26915168762207
13	3.09981155395508	0	3.10146331787109	0	3.0449743270874	0.085861437022686	2.57881259918213	0.786151647567749	1.89513969421387	1.80322253704071	1.48546886444092	2.42599010467529
14	3.34331703186035	0	3.34340953826904	0	3.28728485107422	0.0865151584148407	2.81497001647949	0.799395799636841	2.0948314666748	1.86422395706177	1.62508487701416	2.58086562156677
15	3.57754516601563	0	3.57736110687256	0	3.5201358795166	0.0871688723564148	3.04322719573975	0.811826705932617	2.29415512084961	1.91704964637756	1.7591028213501	2.72478413581848
16	3.8154468536377	0	3.81590843200684	0	3.75868129730225	0.0883150100708008	3.27405643463135	0.821145176887512	2.50946044921875	1.95956861972809	1.90579414367676	2.85774397850037
17	4.05766868591309	0.00343500077724457	4.05922889709473	0.00212586298584938	3.99980068206787	0.0881486088037491	3.5132474899292	0.83014440536499	2.73680210113525	1.98753249645233	2.06277465820313	2.98972415924072
18	4.30255222320557	0	4.30236911773682	0.00212586298584938	4.24321365356445	0.0894560441374779	3.74903678894043	0.844696044921875	2.95853900909424	2.02825331687927	2.21975231170654	3.11172533035278
19	4.54266023635864	0	4.54385375976563	0	4.48341417312622	0.0941993370652199	3.98299121856689	0.857126951217651	3.18532562255859	2.05507707595825	2.38775444030762	3.22865438461304
20	4.78708362579346	0	4.78561449050903	0.00228801951743662	4.72296953201294	0.0997610464692116	4.21602439880371	0.868740200996399	3.40954399108887	2.08631205558777	2.56503486633301	3.33757781982422
21	5.02425289154053	0.00261742644943297	5.02425289154053	0	4.95866823196411	0.100741624832153	4.44859981536865	0.882966697216034	3.62971782684326	2.11967658996582	2.7499361038208	3.43128824234009
22	5.26169538497925	0	5.26261425018311	0	5.19675588607788	0.100577771663666	4.6804404258728	0.891471862792969	3.85136222839355	2.14633297920227	2.93869781494141	3.5115852355957
23	5.50510835647583	0.00179900310467929	5.50483560562134	0	5.43888330459595	0.103032194077969	4.91522169113159	0.907331764698029	4.07962036132813	2.16661095619202	3.1393985748291	3.58240103721619
24	5.74613523483276	0.00261657754890621	5.74705600738525	0	5.67816305160522	0.104176625609398	5.15183877944946	0.909460186958313	4.30631732940674	2.1914701461792	3.34386730194092	3.64667105674744
25	5.99065256118774	0	5.99037742614746	0	5.92203760147095	0.108102343976498	5.38882303237915	0.922871589660645	4.53567790985107	2.21845531463623	3.55366516113281	3.70571112632751
26	6.22965717315674	0	6.23011541366577	0	6.16104221343994	0.108103193342686	5.62397003173828	0.927614033222198	4.7558536529541	2.24560403823853	3.76400947570801	3.74463391304016
27	6.46452903747559	0.00163599767256528	6.46452903747559	0.00196285755373538	6.39499568939209	0.111047476530075	5.85333061218262	0.938081204891205	4.98291969299316	2.2573778629303	3.96921157836914	3.79647731781006
28	6.70601415634155	0	6.70592164993286	0	6.63473510742188	0.111537344753742	6.08820199966431	0.945930123329163	5.21044111251831	2.27962040901184	4.18498039245605	3.83589148521423
29	6.94437742233276	0.00310729187913239	6.94474458694458	0	6.87300539016724	0.111210487782955	6.31811285018921	0.959504544734955	5.43631172180176	2.30022621154785	4.39697885513306	3.88462853431702
30	7.18457508087158	0	7.18466711044312	0	7.10943937301636	0.113663204014301	6.55656814575195	0.960485994815826	5.66374349594116	2.32017827033997	4.61191749572754	3.9215874671936
31	7.42275428771973	0.00212586298584938	7.42385673522949	0	7.34734296798706	0.116442792117596	6.78785562515259	0.973568856716156	5.88676452636719	2.34356451034546	4.83062171936035	3.95315265655518
32	7.66846466064453	0.00196200865320861	7.6689248085022	0	7.59452247619629	0.112354069948196	7.02695322036743	0.981909334659576	6.12356567382813	2.35664820671082	5.04794931411743	3.99420118331909
33	7.91022396087646	0.00245442101731896	7.90847969055176	0.00310729187913239	7.83609819412231	0.113335497677326	7.26026391983032	0.992214322090149	6.3514575958252	2.37823700904846	5.2638087272644	4.03312492370605
34	8.14858865737915	0.0032702973112464	8.14941501617432	0.00179900310467929	8.0754714012146	0.115461364388466	7.49504375457764	1.00039088726044	6.57585668563843	2.39982342720032	5.48269844055176	4.06403303146362
35	8.39099073410034	0.00212671211920679	8.39117574691772	0.00343500077724457	8.31622219085693	0.116441942751408	7.72853708267212	1.01380062103271	6.8060450553894	2.41732287406921	5.69919919967651	4.10148334503174
36	8.62852621078491	0.00228971755132079	8.62935352325439	0.00229014200158417	8.55283784866333	0.118895515799522	7.96239900588989	1.01674365997314	7.02768898010254	2.44169116020203	5.91790342330933	4.13337421417236
37	8.87377953529358	0	8.87304425239563	0.00212671211920679	8.79643750190735	0.119713939726353	8.20048666000366	1.02688348293304	7.26210069656372	2.45444679260254	6.13817071914673	4.17148017883301
38	9.10635495185852	0.00294343731366098	9.10571026802063	0.00196285755373538	9.02735924720764	0.122001953423023	8.42883539199829	1.03129959106445	7.47694826126099	2.47930526733398	6.35136461257935	4.19944524765015
39	9.35169768333435	0	9.35224843025208	0	9.27242660522461	0.121349081397057	8.66627979278564	1.04389214515686	7.70952415466309	2.49925804138184	6.57760238647461	4.23002958297729
40	9.58684396743774	0.00278000743128359	9.58748602867126	0.00163557310588658	9.50592064857483	0.12363837659359	8.89398598670959	1.05059742927551	7.93337249755859	2.51593899726868	6.78721332550049	4.26224708557129
41	9.8272271156311	0.00229014200158417	9.82713508605957	0.00278000743128359	9.74602818489075	0.126418814063072	9.12849164009094	1.06139183044434	8.15979433059692	2.53245806694031	7.00876665115356	4.2910304069519
42	10.0656809806824	0.00359800620935857	10.0671503543854	0.00392486620694399	9.98457431793213	0.126745671033859	9.36106610298157	1.06482517719269	8.39099097251892	2.54341435432434	7.22839069366455	4.31883239746094
43	10.3043184280396	0.00506972474977374	10.3061552047729	0.00441558053717017	10.2221100330353	0.129852965474129	9.58978390693665	1.07905459403992	8.61134934425354	2.56663751602173	7.44764566421509	4.34598064422607
44	10.5475486516953	0.00294364965520799	10.548192024231	0.00228992966003716	10.4601032733917	0.136231184005737	9.82685995101929	1.09001159667969	8.8396999835968	2.58560824394226	7.66947460174561	4.37639999389648
45	10.7852681875229	0.00310729187913239	10.7853606939316	0.00245293532498181	10.6984663009644	0.135249763727188	10.0621902942657	1.09524500370026	9.05803728103638	2.60556030273438	7.88726186752319	4.40240240097046
46	11.0272125005722	0.00196264521218836	11.027397274971	0	10.9382063150406	0.138847127556801	10.2977046966553	1.10587477684021	9.2834484577179	2.62044334411621	8.10523223876953	4.4349479675293
47	11.2622681856155	0	11.2619930505753	0	11.1720671653748	0.137866765260696	10.5274333953857	1.11536049842834	9.50968551635742	2.63058280944824	8.31723237037659	4.4606237411499
48	11.5042125582695	0	11.5053141713142	0	11.4142872095108	0.139665335416794	10.7651523351669	1.12337386608124	9.74299645423889	2.64808177947998	8.53860092163086	4.48466491699219
49	11.7413810491562	0.00425204448401928	11.7414732575417	0.00441558053717017	11.6485155820847	0.14489871263504	11.0003920793533	1.12909805774689	9.97079491615295	2.67048668861389	8.75510287284851	4.51050472259521
50	11.9812121987343	0.00327082793228328	11.982958316803	0.00261668348684907	11.8894504308701	0.14342688024044	11.2371007204056	1.13645756244659	10.1973991394043	2.69060230255127	8.96682667732239	4.53994226455688
